D2;ActionState;timeScale;Frame;Time
D2;PREDRIVE;1;370;3.151984
D2;PREDRIVE;1;371;3.160914
D2;PREDRIVE;1;372;3.168396
D2;PREDRIVE;1;373;3.176907
D2;PREDRIVE;1;374;3.184894
D2;PREDRIVE;1;375;3.193096
D2;PREDRIVE;1;376;3.201816
D2;PREDRIVE;1;377;3.209837
D2;PREDRIVE;1;378;3.217796
D2;PREDRIVE;1;379;3.22603
D2;PREDRIVE;1;380;3.234263
D2;PREDRIVE;1;381;3.242695
D2;PREDRIVE;1;382;3.25073
D2;PREDRIVE;1;383;3.258963
D2;PREDRIVE;1;384;3.267666
D2;PREDRIVE;1;385;3.275612
D2;PREDRIVE;1;386;3.283663
D2;PREDRIVE;1;387;3.291896
D2;PREDRIVE;1;388;3.300593
D2;PREDRIVE;1;389;3.308526
D2;PREDRIVE;1;390;3.316597
D2;PREDRIVE;1;391;3.32483
D2;PREDRIVE;1;392;3.333497
D2;PREDRIVE;1;393;3.341407
D2;PREDRIVE;1;394;3.349529
D2;PREDRIVE;1;395;3.357764
D2;PREDRIVE;1;396;3.36636
D2;PREDRIVE;1;397;3.374348
D2;PREDRIVE;1;398;3.382463
D2;PREDRIVE;1;399;3.390696
D2;PREDRIVE;1;400;3.399276
D2;PREDRIVE;1;401;3.407267
D2;PREDRIVE;1;402;3.416232
D2;PREDRIVE;1;403;3.42363
D2;PREDRIVE;1;404;3.432221
D2;PREDRIVE;1;405;3.440164
D2;PREDRIVE;1;406;3.448328
D2;PREDRIVE;1;407;3.456562
D2;PREDRIVE;1;408;3.465105
D2;PREDRIVE;1;409;3.473082
D2;PREDRIVE;1;410;3.481263
D2;PREDRIVE;1;411;3.48962
D2;PREDRIVE;1;412;3.497729
D2;PREDRIVE;1;413;3.505962
D2;PREDRIVE;1;414;3.514196
D2;PREDRIVE;1;415;3.52253
D2;PREDRIVE;1;416;3.530661
D2;PREDRIVE;1;417;3.539501
D2;PREDRIVE;1;418;3.547486
D2;PREDRIVE;1;419;3.555362
D2;PREDRIVE;1;420;3.563596
